#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.21,4.67
2,1000,0.20,10.06
4,1000,0.19,21.31
8,1000,0.19,42.44
16,1000,0.19,85.20
32,1000,0.22,142.27
64,1000,0.23,279.62
128,1000,0.31,411.77
256,1000,0.34,751.70
512,1000,0.38,1359.35
1024,1000,0.50,2058.83
2048,1000,0.74,2764.10
4096,1000,1.12,3673.12
8192,1000,1.86,4415.37
16384,1000,2.93,5588.15
32768,1000,4.71,6953.48
65536,640,8.04,8150.10
131072,320,14.97,8758.11
262144,160,13.84,18935.65
524288,80,25.13,20867.18
1048576,40,54.55,19223.70
2097152,20,143.83,14580.39
4194304,10,304.63,13768.66
8388608,5,845.15,9925.58
16777216,2,2279.37,7360.45
33554432,1,5210.36,6439.94
67108864,1,10357.71,6479.12
134217728,1,20667.32,6494.20
268435456,1,41601.75,6452.50
