pre.send,main.matrix,remain.matrix,total.comput,total
0.0076732,0.158642,0.00767352,0.166315,0.173988
0.00835482,0.159967,0.00835523,0.168322,0.176677
0.00781543,0.159947,0.00781578,0.167763,0.175578
0.00781823,0.159417,0.00781854,0.167236,0.175054
0.00771022,0.157751,0.00771084,0.165462,0.173173
0.00767172,0.157196,0.00767202,0.164868,0.172539
0.00836092,0.159774,0.00836136,0.168135,0.176496
0.00760479,0.159082,0.00760483,0.166687,0.174292
0.00822981,0.157665,0.00823021,0.165895,0.174125
0.00824838,0.156884,0.00824894,0.165133,0.173382
