pre.send,main.matrix,remain.matrix,total.comput,total
0.00777552,0.160587,0.00777592,0.168363,0.176138
0.00776552,0.160073,0.00776583,0.167839,0.175604
0.00835937,0.159858,0.00835957,0.168217,0.176577
0.00768818,0.158229,0.00768857,0.165917,0.173605
0.00772619,0.160928,0.0077268,0.168655,0.176381
0.00776444,0.160577,0.00776495,0.168342,0.176107
0.00828617,0.159766,0.0082865,0.168053,0.176339
0.00829115,0.158521,0.00829144,0.166812,0.175103
0.00828648,0.158672,0.0082867,0.166958,0.175245
0.00777468,0.160066,0.00777498,0.167841,0.175616
