pre.send,main.matrix,remain.matrix,total.comput,total
0.0079082,0.331815,0.0318515,0.363666,0.371574
0.00725334,0.331567,0.0308476,0.362414,0.369668
0.00785796,0.327968,0.0315379,0.359506,0.367364
0.00786541,0.32983,0.0316045,0.361435,0.3693
0.00795221,0.33234,0.0318975,0.364238,0.37219
0.00790576,0.332201,0.0318808,0.364081,0.371987
0.00782002,0.327382,0.0315005,0.358882,0.366702
0.00794562,0.331233,0.0318907,0.363124,0.371069
0.00792319,0.332879,0.0318175,0.364697,0.37262
0.007278,0.328393,0.0308995,0.359292,0.36657
