pre.send,main.matrix,remain.matrix,total.comput,total
0.00838151,0.152715,0.0167939,0.169509,0.177891
0.00770832,0.152011,0.0161335,0.168144,0.175852
0.007721,0.149849,0.0160742,0.165923,0.173644
0.00768956,0.151482,0.0160307,0.167512,0.175202
0.00770808,0.150464,0.0159592,0.166423,0.174132
0.00788391,0.150981,0.0162896,0.16727,0.175154
0.00776441,0.149255,0.0161183,0.165374,0.173138
0.00771997,0.151226,0.0160521,0.167278,0.174998
0.00775494,0.151793,0.0161806,0.167973,0.175728
0.00768121,0.149951,0.0160094,0.16596,0.173641
