pre.send,main.matrix,remain.matrix,total.comput,total
0.00783294,0.186564,0.0147106,0.201274,0.209107
0.00791788,0.188701,0.0147455,0.203446,0.211364
0.0077752,0.186587,0.0145648,0.201151,0.208927
0.00775339,0.186543,0.0145311,0.201074,0.208828
0.00784997,0.186703,0.0146327,0.201336,0.209186
0.0072644,0.186315,0.0140608,0.200376,0.207641
0.00777102,0.186859,0.014552,0.201411,0.209182
0.00782297,0.187558,0.0148185,0.202377,0.2102
0.00789709,0.188943,0.014739,0.203682,0.211579
0.00779947,0.187545,0.0147506,0.202296,0.210095
