pre.send,main.matrix,remain.matrix,total.comput,total
0.00820981,0.1591,0.00821026,0.16731,0.17552
0.00779647,0.160144,0.00779676,0.167941,0.175738
0.00766966,0.1594,0.00767012,0.16707,0.174739
0.00763272,0.159534,0.00763316,0.167167,0.174799
0.00781034,0.16063,0.00781054,0.16844,0.176251
0.00825945,0.159573,0.00825974,0.167832,0.176092
0.00825966,0.158108,0.00825995,0.166368,0.174627
0.00825365,0.158375,0.00825397,0.166629,0.174883
0.00778276,0.160694,0.00778306,0.168477,0.17626
0.00775413,0.159833,0.00775437,0.167587,0.175342
