1,2,3,4,5,6,7,8,9,10,11,12,13,14
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.09657990100,4.09648106000,3.81796056500,3.98392218800,Residual,62049999.9507,MLUPs,2530.89168295
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.09356159600,4.09354342200,3.81875028500,3.98262763900,Residual,10333333.3333,MLUPs,2532.75778484
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.08526940300,4.08524961500,3.81843146100,3.97250672600,Residual,2200617.28329,MLUPs,2537.89872276
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10416512900,4.10414158800,3.81788786600,3.99688175700,Residual,653806.584240,MLUPs,2526.21414444
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10283065500,4.10252355900,3.81928405300,3.99502324500,Residual,267768.347049,MLUPs,2527.03581303
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10226795100,4.10225562900,3.81821315300,3.99456062900,Residual,137961.031338,MLUPs,2527.38244401
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10121710000,4.10088354400,3.81821163600,3.99350057800,Residual,82118.9942364,MLUPs,2528.03003284
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10294831500,4.10292747600,3.81787563600,3.99486650000,Residual,53620.9221152,MLUPs,2526.96334538
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10348868300,4.10347040700,3.81880127900,3.99585420800,Residual,37315.0270682,MLUPs,2526.63058216
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10381777700,4.10378551100,3.81838341500,3.99600492800,Residual,27208.6476612,MLUPs,2526.42796620
