1,2,3,4,5,6,7,8,9,10,11,12,13,14
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10957980800,4.10943310600,3.81661351700,3.98577781200,Residual,40036666.6349,MLUPs,2522.88566822
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10614889200,4.10613462800,3.81798459900,3.98649640200,Residual,6666666.66664,MLUPs,2524.99367965
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10488351600,4.10486462800,3.81766012600,3.98531019200,Residual,1419753.08599,MLUPs,2525.77203704
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10727867900,4.10725131800,3.81697484400,3.98759390400,Residual,421810.699493,MLUPs,2524.29913096
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10672538900,4.10633710600,3.81733869100,3.98728682600,Residual,172753.772289,MLUPs,2524.63922418
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10782055300,4.10780428200,3.81954571800,3.98835540800,Residual,89007.1169942,MLUPs,2523.96614366
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10781749600,4.10780540700,3.81794205100,3.98839021400,Residual,52979.9962815,MLUPs,2523.96802197
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.11550714500,4.11548412100,3.81824682600,3.98782615300,Residual,34594.1433005,MLUPs,2519.25209572
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10831671100,4.10829675400,3.81855511500,3.98860935500,Residual,24074.2110118,MLUPs,2523.66132636
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10827646100,4.10824961800,3.81916227800,3.98871207100,Residual,17553.9662334,MLUPs,2523.68605142
