pre.send,main.matrix,remain.matrix,total.comput,total
0.00767624,0.193896,0.00767654,0.201573,0.209249
0.00782325,0.195676,0.00782353,0.2035,0.211323
0.00828073,0.194902,0.00828102,0.203183,0.211464
0.0083368,0.196156,0.0083371,0.204493,0.21283
0.00764697,0.194026,0.00764736,0.201674,0.209321
0.00777036,0.195699,0.00777071,0.20347,0.21124
0.0083185,0.196162,0.00831882,0.204481,0.212799
0.0076791,0.19313,0.00767938,0.200809,0.208488
0.00830009,0.196871,0.00830039,0.205172,0.213472
0.00777289,0.196658,0.00777345,0.204432,0.212205
