pre.send,main.matrix,remain.matrix,total.comput,total
0.00773574,0.211821,0.00773629,0.219558,0.227293
0.00822901,0.210688,0.00822932,0.218917,0.227146
0.00833655,0.213252,0.00833674,0.221588,0.229925
0.00764979,0.211268,0.00764999,0.218918,0.226568
0.00823891,0.210233,0.00823947,0.218473,0.226711
0.00763168,0.21149,0.00763213,0.219122,0.226754
0.00775623,0.21227,0.00775655,0.220027,0.227783
0.00823692,0.210623,0.00823731,0.21886,0.227097
0.00772397,0.212292,0.00772435,0.220017,0.227741
0.0082621,0.210752,0.0082624,0.219014,0.227277
