pre.send,main.matrix,remain.matrix,total.comput,total
0.00725104,0.472157,0.0306505,0.502808,0.510059
0.00780295,0.471818,0.0312088,0.503027,0.51083
0.00777044,0.471828,0.0312659,0.503094,0.510864
0.00777299,0.471694,0.0312834,0.502978,0.51075
0.0072467,0.471926,0.0307075,0.502634,0.50988
0.00781162,0.469744,0.0312461,0.50099,0.508801
0.00789647,0.478023,0.0466218,0.524645,0.532541
0.00777841,0.471126,0.0311577,0.502284,0.510062
0.00783042,0.472751,0.0312541,0.504005,0.511835
0.00781029,0.469766,0.0312265,0.500992,0.508803
