pre.send,main.matrix,remain.matrix,total.comput,total
0.00758364,0.188609,0.00946356,0.198072,0.205656
0.00756714,0.187799,0.00951612,0.197315,0.204882
0.00819972,0.189953,0.0101843,0.200138,0.208337
0.00823696,0.189899,0.0101975,0.200096,0.208333
0.00809352,0.187968,0.0100466,0.198015,0.206108
0.0081385,0.18975,0.0100207,0.199771,0.207909
0.00768313,0.18895,0.00955909,0.198509,0.206192
0.0081966,0.190097,0.0101714,0.200268,0.208465
0.00753695,0.187756,0.00947921,0.197235,0.204772
0.00757475,0.188179,0.0094625,0.197642,0.205217
