pre.send,main.matrix,remain.matrix,total.comput,total
0.00815449,0.159755,0.00987834,0.169634,0.177788
0.00829169,0.160115,0.0100377,0.170153,0.178444
0.00828408,0.16066,0.0100147,0.170674,0.178959
0.00766038,0.16082,0.00938761,0.170208,0.177868
0.00817854,0.185151,0.00991282,0.195063,0.203242
0.00814225,0.15974,0.00987516,0.169616,0.177758
0.00756501,0.159739,0.00928635,0.169025,0.17659
0.00762911,0.161505,0.00936485,0.17087,0.178499
0.00765073,0.16102,0.00939953,0.170419,0.17807
0.00757269,0.160582,0.00927257,0.169855,0.177427
