#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.43,0.00
1,1000,5.52,0.18
2,1000,5.53,0.36
4,1000,5.53,0.72
8,1000,5.52,1.45
16,1000,5.51,2.90
32,1000,5.51,5.80
64,1000,5.52,11.59
128,1000,5.60,22.88
256,1000,5.63,45.50
512,1000,5.68,90.07
1024,1000,6.25,163.96
2048,1000,6.10,335.99
4096,1000,6.99,586.32
8192,1000,7.51,1091.20
16384,1000,9.54,1716.56
32768,1000,15.74,2082.27
65536,640,29.69,2207.43
131072,320,39.73,3299.16
262144,160,54.58,4802.85
524288,80,87.66,5981.20
1048576,40,150.18,6982.24
2097152,20,291.14,7203.30
4194304,10,612.91,6843.28
8388608,5,1502.18,5584.29
16777216,2,3140.32,5342.52
33554432,1,6485.20,5174.00
67108864,1,12656.90,5302.16
134217728,1,25838.94,5194.40
268435456,1,50125.15,5355.31
