numproc,exec-time,init-time
66,9.32776e-05,1.66e-07
66,9.58984e-05,1.34e-07
66,9.54761e-05,1.44e-07
66,9.42188e-05,2.13e-07
66,9.30999e-05,1.44e-07
66,9.36496e-05,1.46e-07
66,9.21835e-05,1.14e-07
66,9.48319e-05,1.17e-07
66,9.23105e-05,1.15e-07
66,9.59616e-05,1.11e-07
