1,2,3,4,5,6,7,8,9,10,11,12,13,14
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,3.05744334900,3.05738859300,2.85135783300,2.95957564400,Residual,35039999.9723,MLUPs,1695.53427758
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,3.05500719800,3.05499768900,2.85055880200,2.95938091100,Residual,5833333.33331,MLUPs,1696.88634560
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,3.05546792200,3.05545281000,2.85045950000,2.96080307400,Residual,1242283.95023,MLUPs,1696.63047767
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,3.05586338300,3.05584799400,2.85053387500,2.96031475600,Residual,369084.362069,MLUPs,1696.41091576
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,3.05557266800,3.05556911400,2.85222007700,2.96059432400,Residual,151159.550754,MLUPs,1696.57231664
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,3.05516779200,3.05515733800,2.85132712100,2.95923417200,Residual,77881.2273696,MLUPs,1696.79714927
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,3.05592436200,3.05591566700,2.85212458700,2.96107142600,Residual,46357.4967466,MLUPs,1696.37706498
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,3.05634221400,3.05633795900,2.85151569600,2.96173327000,Residual,30269.8753876,MLUPs,1696.14514247
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,3.05537843300,3.05537608800,2.85136996300,2.96063490700,Residual,21064.9346353,MLUPs,1696.68017029
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,3.05416480800,3.05414605500,2.85213761300,2.95830959000,Residual,15359.7204542,MLUPs,1697.35437538
