TEST_time,TEST_points
168.653,16777215
NDIM,NUMPOINTS,threads,OMP.TIME,depth,leaf_task
3,2147483647,4,1165.4,10,1024
3,2147483647,4,1164.63,14,16384
3,2147483647,4,1147.28,11,2048
