pre.send,main.matrix,remain.matrix,total.comput,total
0.00756777,0.18769,0.00756805,0.195258,0.202826
0.00762081,0.18807,0.00762114,0.195691,0.203312
0.00815088,0.186816,0.00815113,0.194967,0.203118
0.00760323,0.187817,0.00760352,0.195421,0.203024
0.00814884,0.187855,0.0081492,0.196004,0.204153
0.0082262,0.195169,0.0082268,0.203396,0.211622
0.00767223,0.189105,0.00767264,0.196777,0.20445
0.00754585,0.186196,0.00754606,0.193742,0.201288
0.00822184,0.189732,0.00822261,0.197954,0.206176
0.00766385,0.189916,0.00766433,0.19758,0.205244
